practice,cycle,word,modality,answer,exp,sessionID
none,1.0,hoorn,gebaren,megafoon,1,13_1
none,1.0,geur,gebaren,ruiken,1,13_1
none,1.0,klein,gebaren,peuter,1,13_1
none,1.0,onweer,gebaren,schuilen,1,13_1
none,1.0,jagen,gebaren,oorlog,1,13_1
none,1.0,springen,gebaren,springen,1,13_1
none,1.0,kotsen,gebaren,overgeven,1,13_1
practice,0.0,telefoon,geluiden,ringtoon,2,13_2
practice,0.0,telefoon,geluiden,telefoon,2,13_2
practice,0.0,zwaaien,geluiden,wind,2,13_2
practice,0.0,zwaaien,geluiden,spugen,2,13_2
practice,0.0,zwaaien,geluiden,springen,2,13_2
none,0.0,bitter,geluiden,koud,2,13_2
none,0.0,bitter,geluiden,vies,2,13_2
none,0.0,bitter,geluiden,vuil,2,13_2
none,0.0,snel,geluiden,zwaaien,2,13_2
none,0.0,snel,geluiden,gooien,2,13_2
none,0.0,snel,geluiden,springen,2,13_2
none,0.0,misschien,geluiden,blij,2,13_2
none,0.0,misschien,geluiden,denken,2,13_2
none,0.0,misschien,geluiden,genieten,2,13_2
none,0.0,zout,geluiden,vies,2,13_2
none,0.0,zout,geluiden,koud,2,13_2
none,0.0,zout,geluiden,storm,2,13_2
none,0.0,zoet,geluiden,blij,2,13_2
none,0.0,zoet,geluiden,baby,2,13_2
none,0.0,zoet,geluiden,voeden,2,13_2
none,0.0,drinken,geluiden,drinken,2,13_2
none,0.0,lopen,geluiden,hard,2,13_2
none,0.0,lopen,geluiden,eten,2,13_2
none,0.0,lopen,geluiden,pittig,2,13_2
practice,1.0,fiets,geluiden,muziek,2,13_2
practice,1.0,fiets,geluiden,melodie,2,13_2
practice,1.0,fiets,geluiden,bel,2,13_2
practice,1.0,juichen,geluiden,juichen,2,13_2
none,1.0,luidruchtig,geluiden,langaam,2,13_2
none,1.0,luidruchtig,geluiden,neurien,2,13_2
none,1.0,luidruchtig,geluiden,hoog,2,13_2
none,1.0,man,geluiden,eten,2,13_2
none,1.0,man,geluiden,brommen,2,13_2
none,1.0,man,geluiden,boos,2,13_2
none,1.0,verdrietig,geluiden,huilen,2,13_2
none,1.0,verdrietig,geluiden,verdrietig,2,13_2
none,1.0,scherp,geluiden,pijn,2,13_2
none,1.0,scherp,geluiden,verwonding,2,13_2
none,1.0,scherp,geluiden,bezeren,2,13_2
none,1.0,sterk,geluiden,boos,2,13_2
none,1.0,sterk,geluiden,brood,2,13_2
none,1.0,sterk,geluiden,hond,2,13_2
none,1.0,bijten,geluiden,hond,2,13_2
none,1.0,bijten,geluiden,bal,2,13_2
none,1.0,bijten,geluiden,brommen,2,13_2
none,1.0,zuigen,geluiden,slurpen,2,13_2
none,1.0,zuigen,geluiden,zuigen,2,13_2
practice,0.0,bal,gebaren,bal,2,13_2
practice,0.0,glimlach,gebaren,blij,2,13_2
practice,0.0,glimlach,gebaren,vrolijk,2,13_2
practice,0.0,glimlach,gebaren,gelukkig,2,13_2
none,0.0,kat,gebaren,hond,2,13_2
none,0.0,kat,gebaren,kat,2,13_2
none,0.0,dood,gebaren,dood,2,13_2
none,0.0,hond,gebaren,hond,2,13_2
none,0.0,ziek,gebaren,ziek,2,13_2
none,0.0,vangen,gebaren,vangen,2,13_2
none,0.0,huilen,gebaren,verdrietig,2,13_2
none,0.0,huilen,gebaren,huilen,2,13_2
none,0.0,weten,gebaren,denken,2,13_2
none,0.0,weten,gebaren,onthouden,2,13_2
none,0.0,weten,gebaren,nadenken,2,13_2
practice,1.0,zingen,gebaren,zingen,2,13_2
practice,1.0,vliegtuig,gebaren,vliegen,2,13_2
practice,1.0,vliegtuig,gebaren,zweven,2,13_2
practice,1.0,vliegtuig,gebaren,vliegtuig,2,13_2
none,1.0,vis,gebaren,vis,2,13_2
none,1.0,zwaar,gebaren,dik,2,13_2
none,1.0,zwaar,gebaren,zwaar,2,13_2
none,1.0,berg,gebaren,heuvel,2,13_2
none,1.0,berg,gebaren,berg,2,13_2
none,1.0,piepen,gebaren,kinderen,2,13_2
none,1.0,piepen,gebaren,kip,2,13_2
none,1.0,piepen,gebaren,kakelen,2,13_2
none,1.0,verbranden,gebaren,verbranden,2,13_2
none,1.0,slapen,gebaren,slapen,2,13_2
none,1.0,water,gebaren,water,2,13_2
practice,0.0,sneeuw,combinatie,waterval,2,13_2
practice,0.0,sneeuw,combinatie,regen,2,13_2
practice,0.0,sneeuw,combinatie,sneeuw,2,13_2
practice,0.0,geheim,combinatie,stil,2,13_2
practice,0.0,geheim,combinatie,geheim,2,13_2
none,0.0,bang,combinatie,bang,2,13_2
none,0.0,staart,combinatie,muts,2,13_2
none,0.0,staart,combinatie,dragen,2,13_2
none,0.0,staart,combinatie,helm,2,13_2
none,0.0,dik,combinatie,dik,2,13_2
none,0.0,kauwen,combinatie,eten,2,13_2
none,0.0,kauwen,combinatie,smakken,2,13_2
none,0.0,kauwen,combinatie,kauwen,2,13_2
none,0.0,vechten,combinatie,vechten,2,13_2
none,0.0,vliegen,combinatie,vliegen,2,13_2
none,0.0,geven,combinatie,geven,2,13_2
practice,1.0,klok,combinatie,klok,2,13_2
practice,1.0,eend,combinatie,eend,2,13_2
none,1.0,kind,combinatie,moedergans,2,13_2
none,1.0,kind,combinatie,kind,2,13_2
none,1.0,vrouw,combinatie,irritant,2,13_2
none,1.0,vrouw,combinatie,meisje,2,13_2
none,1.0,vrouw,combinatie,vrouw,2,13_2
none,1.0,vlieg,combinatie,vliegtuig,2,13_2
none,1.0,vlieg,combinatie,vlieg,2,13_2
none,1.0,hoog,combinatie,hoog,2,13_2
none,1.0,regen,combinatie,regen,2,13_2
none,1.0,zwemmen,combinatie,zwemmen,2,13_2
none,1.0,wind,combinatie,raken,2,13_2
none,1.0,wind,combinatie,fohnen,2,13_2
none,1.0,wind,combinatie,wind,2,13_2
practice,0.0,snijden,combinatie,zagen,1,14_1
practice,0.0,rijk,combinatie,uitgeven,1,14_1
none,0.0,kind,combinatie,troosten,1,14_1
none,0.0,vlieg,combinatie,vliegen,1,14_1
none,0.0,bliksem,combinatie,vallen,1,14_1
none,0.0,klein,combinatie,hurken,1,14_1
none,0.0,zuur,combinatie,afkeer,1,14_1
none,0.0,jagen,combinatie,schieten,1,14_1
none,0.0,ruiken,combinatie,ruiken,1,14_1
practice,1.0,comfortabel,combinatie,nadenken,1,14_1
practice,1.0,olifant,combinatie,olifant,1,14_1
none,1.0,walgen,combinatie,vies,1,14_1
none,1.0,hond,combinatie,hond,1,14_1
none,1.0,bang,combinatie,schrikken,1,14_1
none,1.0,bijten,combinatie,bijten,1,14_1
none,1.0,springen,combinatie,springen,1,14_1
none,1.0,staan,combinatie,wachten,1,14_1
none,1.0,kotsen,combinatie,overgeven,1,14_1
practice,0.0,haasten,geluiden,rennen,1,14_1
practice,0.0,auto,geluiden,rijden,1,14_1
none,0.0,hoorn,geluiden,leger,1,14_1
none,0.0,verdrietig,geluiden,huilen,1,14_1
none,0.0,scherp,geluiden,slijpen,1,14_1
none,0.0,onweer,geluiden,schieten,1,14_1
none,0.0,vliegen,geluiden,wind,1,14_1
none,0.0,slapen,geluiden,slapen,1,14_1
none,0.0,lopen,geluiden,wachten,1,14_1
practice,1.0,leeg,geluiden,wind,1,14_1
practice,1.0,koken,geluiden,muis,1,14_1
none,1.0,vogel,geluiden,vogel,1,14_1
none,1.0,dood,geluiden,vies,1,14_1
none,1.0,snel,geluiden,pijl,1,14_1
none,1.0,vis,geluiden,vis,1,14_1
none,1.0,slang,geluiden,slang,1,14_1
none,1.0,piepen,geluiden,remmen,1,14_1
none,1.0,likken,geluiden,opzuigen,1,14_1
practice,0.0,bloem,gebaren,roken,1,14_1
practice,0.0,knippen,gebaren,knippen,1,14_1
none,0.0,ver,gebaren,zoeken,1,14_1
none,0.0,vrouw,gebaren,flirten,1,14_1
none,0.0,stil,gebaren,stil,1,14_1
none,0.0,blazen,gebaren,blazen,1,14_1
none,0.0,kauwen,gebaren,eten,1,14_1
none,0.0,vallen,gebaren,vallen,1,14_1
none,0.0,weten,gebaren,denken,1,14_1
practice,1.0,gek,gebaren,gek,1,14_1
practice,1.0,dansen,gebaren,dansen,1,14_1
none,1.0,goed,gebaren,goed,1,14_1
none,1.0,zoet,gebaren,lekker,1,14_1
none,1.0,kruipen,gebaren,graven,1,14_1
none,1.0,grommen,gebaren,klauwen,1,14_1
none,1.0,slaan,gebaren,slaan,1,14_1
none,1.0,lachen,gebaren,lachen,1,14_1
none,1.0,zuigen,gebaren,zuigen,1,14_1
practice,0.0,bal,combinatie,basketballen,2,14_2
