Unnamed: 0,trial_order,trial_type,participant,word,modality,answer,correction,sessionID,exp_part,dyad,pcnID,English,cosine_similarity,guess_binary,expressibility_dutch,SemanticSubcat,filename
110,57,target,1,man,combinatie,baas,0,10_2,2,10,2,male,0.501,0,0.562319704396451,animate,10_2_trial_56_p1_man_combinatie_c0_final.avi
111,58,target,1,man,combinatie,bodybuilder,1,10_2,2,10,2,male,0.244,0,0.562319704396451,animate,10_2_trial_57_p1_man_combinatie_c1_final.avi
112,59,target,1,man,combinatie,fransman,2,10_2,2,10,2,male,0.288,0,0.562319704396451,animate,10_2_trial_58_p1_man_combinatie_c2_final.avi
113,60,target,1,bijten,combinatie,bijten,0,10_2,2,10,2,to bite,1.0,1,0.780811330443828,vocal_oral,10_2_trial_59_p1_bijten_combinatie_c0_final.avi
114,61,target,1,lachen,combinatie,lachen,0,10_2,2,10,2,to laugh,1.0,1,0.852786166779168,vocal_oral,10_2_trial_60_p1_lachen_combinatie_c0_final.avi
115,62,practice,0,telefoon,geluiden,fiets,0,10_2,2,10,1,telephone,0.06,0,,,10_2_pr_61_p0_telefoon_geluiden_c0_final.avi
116,63,practice,0,telefoon,geluiden,telefoon,1,10_2,2,10,1,telephone,1.0,1,,,10_2_pr_62_p0_telefoon_geluiden_c1_final.avi
117,64,practice,0,fiets,geluiden,bel,0,10_2,2,10,1,bicycle,0.059,0,,,10_2_pr_63_p0_fiets_geluiden_c0_final.avi
118,65,practice,0,fiets,geluiden,fiets,1,10_2,2,10,1,bicycle,1.0,1,,,10_2_pr_64_p0_fiets_geluiden_c1_final.avi
119,66,target,0,vogel,geluiden,vogel,0,10_2,2,10,1,bird,1.0,1,0.615450673796237,animal,10_2_trial_65_p0_vogel_geluiden_c0_final.avi
120,67,target,0,vlieg,geluiden,bij,0,10_2,2,10,1,fly,0.15,0,0.56695234249888,animal,10_2_trial_66_p0_vlieg_geluiden_c0_final.avi
121,68,target,0,vlieg,geluiden,scheren,1,10_2,2,10,1,fly,0.122,0,0.56695234249888,animal,10_2_trial_67_p0_vlieg_geluiden_c1_final.avi
122,69,target,0,vlieg,geluiden,bloem,2,10_2,2,10,1,fly,0.109,0,0.56695234249888,animal,10_2_trial_68_p0_vlieg_geluiden_c2_final.avi
123,70,target,0,misschien,geluiden,twijfelen,0,10_2,2,10,1,maybe,0.284,0,0.314638353811457,logical,10_2_trial_69_p0_misschien_geluiden_c0_final.avi
124,71,target,0,misschien,geluiden,denken,1,10_2,2,10,1,maybe,0.567,0,0.314638353811457,logical,10_2_trial_70_p0_misschien_geluiden_c1_final.avi
125,72,target,0,misschien,geluiden,goed,2,10_2,2,10,1,maybe,0.15,0,0.314638353811457,logical,10_2_trial_71_p0_misschien_geluiden_c2_final.avi
126,73,target,0,scherp,geluiden,spuiten,0,10_2,2,10,1,sharp,0.092,0,0.289772587287242,haptic,10_2_trial_72_p0_scherp_geluiden_c0_final.avi
127,74,target,0,scherp,geluiden,verbranden,1,10_2,2,10,1,sharp,0.097,0,0.289772587287242,haptic,10_2_trial_73_p0_scherp_geluiden_c1_final.avi
128,75,target,0,scherp,geluiden,heet,2,10_2,2,10,1,sharp,0.319,0,0.289772587287242,haptic,10_2_trial_74_p0_scherp_geluiden_c2_final.avi
129,76,target,0,zuur,geluiden,vies,0,10_2,2,10,1,sour,0.246,0,0.361936361379245,gustatory,10_2_trial_75_p0_zuur_geluiden_c0_final.avi
130,77,target,0,zuur,geluiden,eten,1,10_2,2,10,1,sour,0.089,0,0.361936361379245,gustatory,10_2_trial_76_p0_zuur_geluiden_c1_final.avi
131,78,target,0,zuur,geluiden,smerig,2,10_2,2,10,1,sour,0.175,0,0.361936361379245,gustatory,10_2_trial_77_p0_zuur_geluiden_c2_final.avi
132,79,target,0,jagen,geluiden,boksen,0,10_2,2,10,1,to hunt,0.079,0,0.303762958061108,survival,10_2_trial_78_p0_jagen_geluiden_c0_final.avi
133,80,target,0,jagen,geluiden,ontploffen,1,10_2,2,10,1,to hunt,0.087,0,0.303762958061108,survival,10_2_trial_79_p0_jagen_geluiden_c1_final.avi
134,81,target,0,jagen,geluiden,spanning,2,10_2,2,10,1,to hunt,0.114,0,0.303762958061108,survival,10_2_trial_80_p0_jagen_geluiden_c2_final.avi
135,82,target,0,springen,geluiden,piano,0,10_2,2,10,1,to jump,0.032,0,0.343503131163236,locomotion,10_2_trial_81_p0_springen_geluiden_c0_final.avi
136,83,target,0,springen,geluiden,scannen,1,10_2,2,10,1,to jump,0.038,0,0.343503131163236,locomotion,10_2_trial_82_p0_springen_geluiden_c1_final.avi
137,84,target,0,springen,geluiden,gitaar,2,10_2,2,10,1,to jump,-0.06,0,0.343503131163236,locomotion,10_2_trial_83_p0_springen_geluiden_c2_final.avi
