"trial_order","dyad","participant_dyad","participant_ID","exp_part","modality","expressibility_dutch","concept","correction","guess_binary","cosine_similarity","stimulus","answer","SemanticSubcat","sessionID"
50,11,1,4,1,"vocal",0.49098203287298,"hot",0,0,0.646,"heet","zwaar","temperature","11_1"
51,11,1,4,1,"vocal",0.332493391437193,"not",0,0,0.529,"niet","teleurstelling","logical","11_1"
52,11,1,4,1,"vocal",0.153255935410395,"salt",0,0,0.511,"zout","leuk","gustatory","11_1"
53,11,1,4,1,"vocal",0.822727134099333,"to cry",0,1,1,"huilen","huilen","vocal_oral","11_1"
54,11,1,4,1,"vocal",0.293526913460625,"to hear",0,0,0.723,"horen","begrijpen","auditory","11_1"
4,11,0,3,2,"vocal",0.286021122209493,"egg",0,0,0.578,"ei","ballon","object","11_2"
5,11,0,3,2,"vocal",0.286021122209493,"egg",1,0,0.617,"ei","uil","object","11_2"
6,11,0,3,2,"vocal",0.286021122209493,"egg",2,0,0.617,"ei","koekoeksklok","object","11_2"
7,11,0,3,2,"vocal",0.42473028945648,"good",0,0,0.599,"goed","genieten","valence","11_2"
8,11,0,3,2,"vocal",0.42473028945648,"good",1,0,0.658,"goed","tevreden","valence","11_2"
9,11,0,3,2,"vocal",0.42473028945648,"good",2,0,0.787,"goed","lekker","valence","11_2"
10,11,0,3,2,"vocal",0.571342868662109,"happy",0,0,0.624,"blij","giechelen","valence","11_2"
11,11,0,3,2,"vocal",0.571342868662109,"happy",1,0,0.642,"blij","verrassing","valence","11_2"
12,11,0,3,2,"vocal",0.571342868662109,"happy",2,0,0.711,"blij","trots","valence","11_2"
13,11,0,3,2,"vocal",0.422189612157541,"male",0,0,0.585,"man","motor","animate","11_2"
14,11,0,3,2,"vocal",0.422189612157541,"male",1,0,0.558,"man","boos","animate","11_2"
15,11,0,3,2,"vocal",0.422189612157541,"male",2,1,1,"man","man","animate","11_2"
16,11,0,3,2,"vocal",0.746777577338304,"sad",0,0,0.695,"verdrietig","huilen","valence","11_2"
17,11,0,3,2,"vocal",0.746777577338304,"sad",1,0,0.76,"verdrietig","sniffen","valence","11_2"
18,11,0,3,2,"vocal",0.746777577338304,"sad",2,1,1,"verdrietig","verdrietig","valence","11_2"
19,11,0,3,2,"vocal",0.336019187014838,"to run",0,1,1,"rennen","rennen","locomotion","11_2"
20,11,0,3,2,"vocal",0.32044193552744,"to throw",0,1,1,"gooien","gooien","manual","11_2"
25,11,1,4,2,"vocal",0.35201321754525,"big",0,0,0.511,"groot","oneens","quantity","11_2"
26,11,1,4,2,"vocal",0.35201321754525,"big",1,0,0.632,"groot","goed","quantity","11_2"
27,11,1,4,2,"vocal",0.35201321754525,"big",2,0,0.525,"groot","twijfelen","quantity","11_2"
28,11,1,4,2,"vocal",0.615450673796237,"bird",0,1,1,"vogel","vogel","animal","11_2"
29,11,1,4,2,"vocal",0.716372172073136,"buzz",0,0,0.582,"zoemen","bij","auditory","11_2"
30,11,1,4,2,"vocal",0.716372172073136,"buzz",1,0,0.609,"zoemen","mug","auditory","11_2"
31,11,1,4,2,"vocal",0.716372172073136,"buzz",2,0,0.604,"zoemen","wesp","auditory","11_2"
32,11,1,4,2,"vocal",0.325215717417947,"fire",0,0,0.583,"vuur","stikken","object","11_2"
33,11,1,4,2,"vocal",0.325215717417947,"fire",1,0,0.572,"vuur","regen","object","11_2"
34,11,1,4,2,"vocal",0.325215717417947,"fire",2,0,0.554,"vuur","vallen","object","11_2"
35,11,1,4,2,"vocal",0.312736784773088,"high",0,0,0.511,"hoog","huilen","auditory","11_2"
36,11,1,4,2,"vocal",0.312736784773088,"high",1,0,0.52,"hoog","onbegrip","auditory","11_2"
37,11,1,4,2,"vocal",0.312736784773088,"high",2,0,0.493,"hoog","verdriet","auditory","11_2"
38,11,1,4,2,"vocal",0.302403521174031,"to catch",0,0,0.7,"vangen","slaan","manual","11_2"
39,11,1,4,2,"vocal",0.302403521174031,"to catch",1,0,0.686,"vangen","tillen","manual","11_2"
40,11,1,4,2,"vocal",0.302403521174031,"to catch",2,0,0.575,"vangen","zweven","manual","11_2"
41,11,1,4,2,"vocal",0.672077057888257,"to eat",0,1,1,"eten","eten","vocal_oral","11_2"
45,11,0,3,2,"combined",0.557153125291575,"sharp",0,0,0.616,"scherp","snee","haptic","11_2"
46,11,0,3,2,"combined",0.557153125291575,"sharp",1,0,0.623,"scherp","snijden","haptic","11_2"
47,11,0,3,2,"combined",0.557153125291575,"sharp",2,1,1,"scherp","scherp","haptic","11_2"
48,11,0,3,2,"combined",0.613189302838734,"tail",0,0,0.544,"staart","scheet","quantity","11_2"
49,11,0,3,2,"combined",0.613189302838734,"tail",1,1,1,"staart","staart","quantity","11_2"
50,11,0,3,2,"combined",0.806355112315007,"to fly",0,1,1,"vliegen","vliegen","locomotion","11_2"
51,11,0,3,2,"combined",0.682815334308846,"to hunt",0,1,1,"jagen","jagen","survival","11_2"
52,11,0,3,2,"combined",0.857717036574825,"to sleep",0,1,1,"slapen","slapen","survival","11_2"
53,11,0,3,2,"combined",0.671311406311871,"to suck",0,0,0.772,"zuigen","slurpen","vocal_oral","11_2"
54,11,0,3,2,"combined",0.671311406311871,"to suck",1,1,1,"zuigen","zuigen","vocal_oral","11_2"
55,11,0,3,2,"combined",0.641802506189562,"wind",0,1,1,"wind","wind","environment","11_2"
